service_id,date,exception_type
weekday,20170102,2
holiday,20170102,1
weekday,20170109,2
holiday,20170109,1
weekday,20170320,2
holiday,20170320,1
weekday,20170503,2
holiday,20170503,1
weekday,20170504,2
holiday,20170504,1
weekday,20170505,2
holiday,20170505,1
weekday,20170717,2
holiday,20170717,1
weekday,20170811,2
holiday,20170811,1
weekday,20170918,2
holiday,20170918,1
weekday,20171009,2
holiday,20171009,1
weekday,20171103,2
holiday,20171103,1
weekday,20171123,2
holiday,20171123,1
winter,20171101,1
winter,20171102,1
winter,20171106,1
winter,20171107,1
winter,20171108,1
winter,20171109,1
winter,20171110,1
winter,20171113,1
winter,20171114,1
winter,20171115,1
winter,20171116,1
winter,20171117,1
winter,20171120,1
winter,20171121,1
winter,20171122,1
winter,20171124,1
winter,20171127,1
winter,20171128,1
winter,20171129,1
winter,20171130,1
winter,20171201,1
winter,20171204,1
winter,20171205,1
winter,20171206,1
winter,20171207,1
winter,20171208,1
winter,20171211,1
winter,20171212,1
winter,20171213,1
winter,20171214,1
winter,20171215,1
winter,20171218,1
winter,20171219,1
winter,20171220,1
winter,20171221,1
weekday,20180101,2
holiday,20180101,1
weekday,20180108,2
holiday,20180108,1
weekday,20180212,2
holiday,20180212,1
weekday,20180321,2
holiday,20180321,1
weekday,20180430,2
holiday,20180430,1
weekday,20180503,2
holiday,20180503,1
weekday,20180504,2
holiday,20180504,1
weekday,20180716,2
holiday,20180716,1
weekday,20180917,2
holiday,20180917,1
weekday,20180924,2
holiday,20180924,1
weekday,20181008,2
holiday,20181008,1
weekday,20181123,2
holiday,20181123,1
weekday,20181224,2
holiday,20181224,1
