fare_id,route_id,origin_id,destination_id,contains_id
f01,HKD2-0-1,hkd01-01,hkd02-01,
f01,HKD2-0-1,hkd01-01,hkd03-01,
f01,HKD2-0-1,hkd01-01,hkd04-01,
f01,HKD2-0-0,hkd02-02,hkd01-02,
f01,HKD2-0-1,hkd02-01,hkd03-01,
f01,HKD2-0-1,hkd02-01,hkd04-01,
f01,HKD2-0-0,hkd03-02,hkd01-02,
f01,HKD2-0-0,hkd03-02,hkd02-02,
f01,HKD2-0-1,hkd03-01,hkd04-01,
f01,HKD2-0-0,hkd04-02,hkd01-02,
f01,HKD2-0-0,hkd04-02,hkd02-02,
f01,HKD2-0-0,hkd04-02,hkd03-02,
f01,HKD2-1-1,hkd01-01,hkd02-01,
f01,HKD2-1-1,hkd01-01,hkd03-01,
f01,HKD2-1-1,hkd01-01,hkd04-01,
f01,HKD2-1-1,hkd01-01,hkd05-01,
f01,HKD2-1-1,hkd01-01,hkd06-01,
f02,HKD2-1-1,hkd01-01,hkd07-01,
f02,HKD2-1-1,hkd01-01,hkd08-01,
f02,HKD2-1-1,hkd01-01,hkd09-01,
f02,HKD2-1-1,hkd01-01,hkd10-01,
f03,HKD2-1-1,hkd01-01,hkd11-01,
f03,HKD2-1-1,hkd01-01,hkd12-01,
f03,HKD2-1-1,hkd01-01,hkd13-01,
f03,HKD2-1-1,hkd01-01,hkd14-01,
f03,HKD2-1-1,hkd01-01,hkd15-01,
f03,HKD2-1-1,hkd01-01,hkd16-01,
f03,HKD2-1-1,hkd01-01,hkd17-01,
f03,HKD2-1-1,hkd01-01,hkd18-01,
f04,HKD2-1-1,hkd01-01,hkd19-01,
f04,HKD2-1-1,hkd01-01,hkd20-01,
f04,HKD2-1-1,hkd01-01,hkd24-01,
f04,HKD2-1-1,hkd01-01,hkd25-01,
f04,HKD2-1-1,hkd01-01,hkd26-01,
f01,HKD2-1-0,hkd02-02,hkd01-02,
f01,HKD2-1-1,hkd02-01,hkd03-01,
f01,HKD2-1-1,hkd02-01,hkd04-01,
f01,HKD2-1-1,hkd02-01,hkd05-01,
f01,HKD2-1-1,hkd02-01,hkd06-01,
f01,HKD2-1-1,hkd02-01,hkd07-01,
f02,HKD2-1-1,hkd02-01,hkd08-01,
f02,HKD2-1-1,hkd02-01,hkd09-01,
f02,HKD2-1-1,hkd02-01,hkd10-01,
f02,HKD2-1-1,hkd02-01,hkd11-01,
f03,HKD2-1-1,hkd02-01,hkd12-01,
f03,HKD2-1-1,hkd02-01,hkd13-01,
f03,HKD2-1-1,hkd02-01,hkd14-01,
f03,HKD2-1-1,hkd02-01,hkd15-01,
f03,HKD2-1-1,hkd02-01,hkd16-01,
f03,HKD2-1-1,hkd02-01,hkd17-01,
f03,HKD2-1-1,hkd02-01,hkd18-01,
f03,HKD2-1-1,hkd02-01,hkd19-01,
f04,HKD2-1-1,hkd02-01,hkd20-01,
f04,HKD2-1-1,hkd02-01,hkd24-01,
f04,HKD2-1-1,hkd02-01,hkd25-01,
f04,HKD2-1-1,hkd02-01,hkd26-01,
f01,HKD2-1-0,hkd03-02,hkd01-02,
f01,HKD2-1-0,hkd03-02,hkd02-02,
f01,HKD2-1-1,hkd03-01,hkd04-01,
f01,HKD2-1-1,hkd03-01,hkd05-01,
f01,HKD2-1-1,hkd03-01,hkd06-01,
f01,HKD2-1-1,hkd03-01,hkd07-01,
f02,HKD2-1-1,hkd03-01,hkd08-01,
f02,HKD2-1-1,hkd03-01,hkd09-01,
f02,HKD2-1-1,hkd03-01,hkd10-01,
f02,HKD2-1-1,hkd03-01,hkd11-01,
f02,HKD2-1-1,hkd03-01,hkd12-01,
f03,HKD2-1-1,hkd03-01,hkd13-01,
f03,HKD2-1-1,hkd03-01,hkd14-01,
f03,HKD2-1-1,hkd03-01,hkd15-01,
f03,HKD2-1-1,hkd03-01,hkd16-01,
f03,HKD2-1-1,hkd03-01,hkd17-01,
