shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
hkd2-0-1,41.7811484,140.7905976,0,
hkd2-0-1,41.7811016,140.7901218,1,
hkd2-0-1,41.781047,140.789729,2,
hkd2-0-1,41.780892,140.789352,3,
hkd2-0-1,41.780763,140.789102,4,
hkd2-0-1,41.780659,140.788861,5,
hkd2-0-1,41.7804991,140.7885016,6,
hkd2-0-1,41.7802871,140.7879339,7,
hkd2-0-1,41.7800439,140.7871387,8,
hkd2-0-1,41.7799074,140.7867425,9,
hkd2-0-1,41.779783,140.7864249,10,
hkd2-0-1,41.7797093,140.7861749,11,
hkd2-0-1,41.7797147,140.7860479,12,
hkd2-0-1,41.779787,140.78567,13,
hkd2-0-1,41.7798359,140.7854996,14,
hkd2-0-1,41.7799223,140.7853568,15,
hkd2-0-1,41.7800129,140.785184,16,
hkd2-0-1,41.780244,140.7848,17,
hkd2-0-1,41.780482,140.784527,18,
hkd2-0-1,41.780789,140.784235,19,
hkd2-0-1,41.781068,140.783917,20,
hkd2-0-1,41.781353,140.783486,21,
hkd2-0-1,41.7816556,140.78304,22,
hkd2-0-1,41.781889,140.782491,23,
hkd2-0-1,41.782112,140.781954,24,
hkd2-0-1,41.782215,140.781701,25,
hkd2-0-1,41.782462,140.7810246,26,
hkd2-0-1,41.782646,140.7805659,27,
hkd2-0-1,41.7830506,140.7796692,28,
hkd2-0-1,41.7833704,140.7789702,29,
hkd2-0-1,41.7836398,140.7782502,30,
hkd2-0-1,41.7838135,140.7777062,31,
hkd2-0-1,41.783986,140.777164,32,
hkd2-0-1,41.784195,140.77652,33,
hkd2-1-1,41.7811484,140.7905976,0,
hkd2-1-1,41.7811016,140.7901218,1,
hkd2-1-1,41.781047,140.789729,2,
hkd2-1-1,41.780892,140.789352,3,
hkd2-1-1,41.780763,140.789102,4,
hkd2-1-1,41.780659,140.788861,5,
hkd2-1-1,41.7804991,140.7885016,6,
hkd2-1-1,41.7802871,140.7879339,7,
hkd2-1-1,41.7800439,140.7871387,8,
hkd2-1-1,41.7799074,140.7867425,9,
hkd2-1-1,41.779783,140.7864249,10,
hkd2-1-1,41.7797093,140.7861749,11,
hkd2-1-1,41.7797147,140.7860479,12,
hkd2-1-1,41.779787,140.78567,13,
hkd2-1-1,41.7798359,140.7854996,14,
hkd2-1-1,41.7799223,140.7853568,15,
hkd2-1-1,41.7800129,140.785184,16,
hkd2-1-1,41.780244,140.7848,17,
hkd2-1-1,41.780482,140.784527,18,
hkd2-1-1,41.780789,140.784235,19,
hkd2-1-1,41.781068,140.783917,20,
hkd2-1-1,41.781353,140.783486,21,
hkd2-1-1,41.7816556,140.78304,22,
hkd2-1-1,41.781889,140.782491,23,
hkd2-1-1,41.782112,140.781954,24,
hkd2-1-1,41.782215,140.781701,25,
hkd2-1-1,41.782462,140.7810246,26,
hkd2-1-1,41.782646,140.7805659,27,
hkd2-1-1,41.7830506,140.7796692,28,
hkd2-1-1,41.7833704,140.7789702,29,
hkd2-1-1,41.7836398,140.7782502,30,
