trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
HKD2-2-001,6:10:00,6:10:00,hkd04-01,1,谷地頭,,1,0
HKD2-2-001,6:11:00,6:11:00,hkd05-01,2,谷地頭,,,0.3
HKD2-2-001,6:13:00,6:13:00,hkd06-01,3,谷地頭,,,0.8
HKD2-2-001,6:15:00,6:15:00,hkd07-01,4,谷地頭,,,1.3
HKD2-2-001,6:17:00,6:17:00,hkd08-01,5,谷地頭,,,1.9
HKD2-2-001,6:20:00,6:20:00,hkd09-01,6,谷地頭,,,2.5
HKD2-2-001,6:22:00,6:22:00,hkd10-01,7,谷地頭,,,2.8
HKD2-2-001,6:24:00,6:24:00,hkd11-01,8,谷地頭,,,3.1
HKD2-2-001,6:25:00,6:25:00,hkd12-01,9,谷地頭,,,3.7
HKD2-2-001,6:27:00,6:27:00,hkd13-01,10,谷地頭,,,4
HKD2-2-001,6:28:00,6:28:00,hkd14-01,11,谷地頭,,,4.3
HKD2-2-001,6:30:00,6:30:00,hkd15-01,12,谷地頭,,,4.6
HKD2-2-001,6:32:00,6:32:00,hkd16-01,13,谷地頭,,,5
HKD2-2-001,6:36:00,6:36:00,hkd17-01,14,谷地頭,,,5.5
HKD2-2-001,6:37:00,6:37:00,hkd18-01,15,谷地頭,,,5.9
HKD2-2-001,6:38:00,6:38:00,hkd19-01,16,谷地頭,,,6.3
HKD2-2-001,6:41:00,6:41:00,hkd20-01,17,谷地頭,,,6.8
HKD2-2-001,6:43:00,6:43:00,hkd24-01,18,谷地頭,,,7.2
HKD2-2-001,6:45:00,6:45:00,hkd25-01,19,谷地頭,,,7.8
HKD2-2-001,6:48:00,6:48:00,hkd26-01,20,谷地頭,1,,8.2
HKD5-2-001,6:14:00,6:14:00,hkd04-01,1,末広町,,1,0
HKD5-2-001,6:15:00,6:15:00,hkd05-01,2,末広町,,,0.3
HKD5-2-001,6:17:00,6:17:00,hkd06-01,3,末広町,,,0.8
HKD5-2-001,6:19:00,6:19:00,hkd07-01,4,末広町,,,1.3
HKD5-2-001,6:21:00,6:21:00,hkd08-01,5,末広町,,,1.9
HKD5-2-001,6:24:00,6:24:00,hkd09-01,6,末広町,,,2.5
HKD5-2-001,6:26:00,6:26:00,hkd10-01,7,末広町,,,2.8
HKD5-2-001,6:28:00,6:28:00,hkd11-01,8,末広町,,,3.1
HKD5-2-001,6:29:00,6:29:00,hkd12-01,9,末広町,,,3.7
HKD5-2-001,6:31:00,6:31:00,hkd13-01,10,末広町,,,4
HKD5-2-001,6:32:00,6:32:00,hkd14-01,11,末広町,,,4.3
HKD5-2-001,6:34:00,6:34:00,hkd15-01,12,末広町,,,4.6
HKD5-2-001,6:36:00,6:36:00,hkd16-01,13,末広町,,,5
HKD5-2-001,6:40:00,6:40:00,hkd17-01,14,末広町,,,5.5
HKD5-2-001,6:41:00,6:41:00,hkd18-01,15,末広町,,,5.9
HKD5-2-001,6:42:00,6:42:00,hkd19-01,16,末広町,,,6.3
HKD5-2-001,6:45:00,6:45:00,hkd20-01,17,末広町,,,6.8
HKD5-2-001,6:47:00,6:47:00,hkd21-01,18,末広町,1,,7.4
HKD5-1-002,6:13:00,6:13:00,hkd01-01,1,どつく前,,1,0
HKD5-1-002,6:14:00,6:14:00,hkd02-01,2,どつく前,,,0.5
HKD5-1-002,6:15:00,6:15:00,hkd03-01,3,どつく前,,,0.8
HKD5-1-002,6:17:00,6:17:00,hkd04-01,4,どつく前,,,1
HKD5-1-002,6:18:00,6:18:00,hkd05-01,5,どつく前,,,1.3
HKD5-1-002,6:20:00,6:20:00,hkd06-01,6,どつく前,,,1.8
HKD5-1-002,6:22:00,6:22:00,hkd07-01,7,どつく前,,,2.3
HKD5-1-002,6:24:00,6:24:00,hkd08-01,8,どつく前,,,2.9
HKD5-1-002,6:27:00,6:27:00,hkd09-01,9,どつく前,,,3.5
HKD5-1-002,6:29:00,6:29:00,hkd10-01,10,どつく前,,,3.8
HKD5-1-002,6:31:00,6:31:00,hkd11-01,11,どつく前,,,4.1
HKD5-1-002,6:32:00,6:32:00,hkd12-01,12,どつく前,,,4.7
HKD5-1-002,6:34:00,6:34:00,hkd13-01,13,どつく前,,,5
HKD5-1-002,6:35:00,6:35:00,hkd14-01,14,どつく前,,,5.3
HKD5-1-002,6:37:00,6:37:00,hkd15-01,15,どつく前,,,5.6
HKD5-1-002,6:39:00,6:39:00,hkd16-01,16,どつく前,,,6
HKD5-1-002,6:43:00,6:43:00,hkd17-01,17,どつく前,,,6.5
HKD5-1-002,6:44:00,6:44:00,hkd18-01,18,どつく前,,,6.9
HKD5-1-002,6:45:00,6:45:00,hkd19-01,19,どつく前,,,7.3
HKD5-1-002,6:48:00,6:48:00,hkd20-01,20,どつく前,,,7.8
HKD5-1-002,6:51:00,6:51:00,hkd21-01,21,どつく前,,,8.4
HKD5-1-002,6:52:00,6:52:00,hkd22-01,22,どつく前,,,8.8
HKD5-1-002,6:54:00,6:54:00,hkd23-01,23,どつく前,1,,9.3
HKD2-1-002,6:18:00,6:18:00,hkd01-01,1,谷地頭,,1,0
HKD2-1-002,6:19:00,6:19:00,hkd02-01,2,谷地頭,,,0.5
HKD2-1-002,6:20:00,6:20:00,hkd03-01,3,谷地頭,,,0.8
HKD2-1-002,6:22:00,6:22:00,hkd04-01,4,谷地頭,,,1
HKD2-1-002,6:23:00,6:23:00,hkd05-01,5,谷地頭,,,1.3
HKD2-1-002,6:25:00,6:25:00,hkd06-01,6,谷地頭,,,1.8
HKD2-1-002,6:27:00,6:27:00,hkd07-01,7,谷地頭,,,2.3
HKD2-1-002,6:29:00,6:29:00,hkd08-01,8,谷地頭,,,2.9
HKD2-1-002,6:32:00,6:32:00,hkd09-01,9,谷地頭,,,3.5
HKD2-1-002,6:34:00,6:34:00,hkd10-01,10,谷地頭,,,3.8
HKD2-1-002,6:36:00,6:36:00,hkd11-01,11,谷地頭,,,4.1
HKD2-1-002,6:37:00,6:37:00,hkd12-01,12,谷地頭,,,4.7
HKD2-1-002,6:39:00,6:39:00,hkd13-01,13,谷地頭,,,5
HKD2-1-002,6:40:00,6:40:00,hkd14-01,14,谷地頭,,,5.3
HKD2-1-002,6:42:00,6:42:00,hkd15-01,15,谷地頭,,,5.6
HKD2-1-002,6:44:00,6:44:00,hkd16-01,16,谷地頭,,,6
HKD2-1-002,6:48:00,6:48:00,hkd17-01,17,谷地頭,,,6.5
HKD2-1-002,6:49:00,6:49:00,hkd18-01,18,谷地頭,,,6.9
HKD2-1-002,6:50:00,6:50:00,hkd19-01,19,谷地頭,,,7.3
HKD2-1-002,6:53:00,6:53:00,hkd20-01,20,谷地頭,,,7.8
HKD2-1-002,6:55:00,6:55:00,hkd24-01,21,谷地頭,,,8.2
HKD2-1-002,6:57:00,6:57:00,hkd25-01,22,谷地頭,,,8.8
HKD2-1-002,7:00:00,7:00:00,hkd26-01,23,谷地頭,1,,9.2
HKD5-3-003,6:24:00,6:24:00,hkd04-01,1,函館駅前,,1,0
HKD5-3-003,6:25:00,6:25:00,hkd05-01,2,函館駅前,,,0.3
HKD5-3-003,6:27:00,6:27:00,hkd06-01,3,函館駅前,,,0.8
HKD5-3-003,6:29:00,6:29:00,hkd07-01,4,函館駅前,,,1.3
HKD5-3-003,6:31:00,6:31:00,hkd08-01,5,函館駅前,,,1.9
HKD5-3-003,6:34:00,6:34:00,hkd09-01,6,函館駅前,,,2.5
HKD5-3-003,6:36:00,6:36:00,hkd10-01,7,函館駅前,,,2.8
HKD5-3-003,6:38:00,6:38:00,hkd11-01,8,函館駅前,,,3.1
HKD5-3-003,6:39:00,6:39:00,hkd12-01,9,函館駅前,,,3.7
HKD5-3-003,6:41:00,6:41:00,hkd13-01,10,函館駅前,,,4
HKD5-3-003,6:42:00,6:42:00,hkd14-01,11,函館駅前,,,4.3
HKD5-3-003,6:44:00,6:44:00,hkd15-01,12,函館駅前,,,4.6
HKD5-3-003,6:46:00,6:46:00,hkd16-01,13,函館駅前,,,5
HKD5-3-003,6:50:00,6:50:00,hkd17-01,14,函館駅前,1,,5.5
HKD5-1-004,6:24:00,6:24:00,hkd01-01,1,どつく前,,1,0
HKD5-1-004,6:25:00,6:25:00,hkd02-01,2,どつく前,,,0.5
HKD5-1-004,6:26:00,6:26:00,hkd03-01,3,どつく前,,,0.8
HKD5-1-004,6:28:00,6:28:00,hkd04-01,4,どつく前,,,1
HKD5-1-004,6:29:00,6:29:00,hkd05-01,5,どつく前,,,1.3
HKD5-1-004,6:31:00,6:31:00,hkd06-01,6,どつく前,,,1.8
HKD5-1-004,6:33:00,6:33:00,hkd07-01,7,どつく前,,,2.3
HKD5-1-004,6:35:00,6:35:00,hkd08-01,8,どつく前,,,2.9
HKD5-1-004,6:38:00,6:38:00,hkd09-01,9,どつく前,,,3.5
HKD5-1-004,6:40:00,6:40:00,hkd10-01,10,どつく前,,,3.8
HKD5-1-004,6:42:00,6:42:00,hkd11-01,11,どつく前,,,4.1
HKD5-1-004,6:43:00,6:43:00,hkd12-01,12,どつく前,,,4.7
HKD5-1-004,6:45:00,6:45:00,hkd13-01,13,どつく前,,,5
HKD5-1-004,6:46:00,6:46:00,hkd14-01,14,どつく前,,,5.3
HKD5-1-004,6:48:00,6:48:00,hkd15-01,15,どつく前,,,5.6
HKD5-1-004,6:50:00,6:50:00,hkd16-01,16,どつく前,,,6
HKD5-1-004,6:54:00,6:54:00,hkd17-01,17,どつく前,,,6.5
HKD5-1-004,6:55:00,6:55:00,hkd18-01,18,どつく前,,,6.9
HKD5-1-004,6:56:00,6:56:00,hkd19-01,19,どつく前,,,7.3
HKD5-1-004,6:59:00,6:59:00,hkd20-01,20,どつく前,,,7.8
HKD5-1-004,7:02:00,7:02:00,hkd21-01,21,どつく前,,,8.4
HKD5-1-004,7:03:00,7:03:00,hkd22-01,22,どつく前,,,8.8
HKD5-1-004,7:06:00,7:06:00,hkd23-01,23,どつく前,1,,9.3
HKD2-1-003,6:29:00,6:29:00,hkd01-01,1,谷地頭,,1,0
HKD2-1-003,6:30:00,6:30:00,hkd02-01,2,谷地頭,,,0.5
HKD2-1-003,6:31:00,6:31:00,hkd03-01,3,谷地頭,,,0.8
HKD2-1-003,6:33:00,6:33:00,hkd04-01,4,谷地頭,,,1
HKD2-1-003,6:34:00,6:34:00,hkd05-01,5,谷地頭,,,1.3
HKD2-1-003,6:37:00,6:37:00,hkd06-01,6,谷地頭,,,1.8
HKD2-1-003,6:39:00,6:39:00,hkd07-01,7,谷地頭,,,2.3
HKD2-1-003,6:41:00,6:41:00,hkd08-01,8,谷地頭,,,2.9
HKD2-1-003,6:44:00,6:44:00,hkd09-01,9,谷地頭,,,3.5
HKD2-1-003,6:46:00,6:46:00,hkd10-01,10,谷地頭,,,3.8
HKD2-1-003,6:48:00,6:48:00,hkd11-01,11,谷地頭,,,4.1
HKD2-1-003,6:49:00,6:49:00,hkd12-01,12,谷地頭,,,4.7
HKD2-1-003,6:51:00,6:51:00,hkd13-01,13,谷地頭,,,5
HKD2-1-003,6:52:00,6:52:00,hkd14-01,14,谷地頭,,,5.3
HKD2-1-003,6:54:00,6:54:00,hkd15-01,15,谷地頭,,,5.6
HKD2-1-003,6:56:00,6:56:00,hkd16-01,16,谷地頭,,,6
HKD2-1-003,7:00:00,7:00:00,hkd17-01,17,谷地頭,,,6.5
HKD2-1-003,7:01:00,7:01:00,hkd18-01,18,谷地頭,,,6.9
HKD2-1-003,7:02:00,7:02:00,hkd19-01,19,谷地頭,,,7.3
HKD2-1-003,7:05:00,7:05:00,hkd20-01,20,谷地頭,,,7.8
HKD2-1-003,7:07:00,7:07:00,hkd24-01,21,谷地頭,,,8.2
HKD2-1-003,7:09:00,7:09:00,hkd25-01,22,谷地頭,,,8.8
HKD2-1-003,7:12:00,7:12:00,hkd26-01,23,谷地頭,1,,9.2
HKD5-1-005,6:35:00,6:35:00,hkd01-01,1,どつく前,,1,0
HKD5-1-005,6:36:00,6:36:00,hkd02-01,2,どつく前,,,0.5
HKD5-1-005,6:37:00,6:37:00,hkd03-01,3,どつく前,,,0.8
HKD5-1-005,6:39:00,6:39:00,hkd04-01,4,どつく前,,,1
HKD5-1-005,6:40:00,6:40:00,hkd05-01,5,どつく前,,,1.3
HKD5-1-005,6:43:00,6:43:00,hkd06-01,6,どつく前,,,1.8
HKD5-1-005,6:45:00,6:45:00,hkd07-01,7,どつく前,,,2.3
HKD5-1-005,6:47:00,6:47:00,hkd08-01,8,どつく前,,,2.9
HKD5-1-005,6:50:00,6:50:00,hkd09-01,9,どつく前,,,3.5
HKD5-1-005,6:52:00,6:52:00,hkd10-01,10,どつく前,,,3.8
HKD5-1-005,6:54:00,6:54:00,hkd11-01,11,どつく前,,,4.1
HKD5-1-005,6:55:00,6:55:00,hkd12-01,12,どつく前,,,4.7
HKD5-1-005,6:57:00,6:57:00,hkd13-01,13,どつく前,,,5
HKD5-1-005,6:58:00,6:58:00,hkd14-01,14,どつく前,,,5.3
HKD5-1-005,7:00:00,7:00:00,hkd15-01,15,どつく前,,,5.6
HKD5-1-005,7:02:00,7:02:00,hkd16-01,16,どつく前,,,6
HKD5-1-005,7:06:00,7:06:00,hkd17-01,17,どつく前,,,6.5
HKD5-1-005,7:07:00,7:07:00,hkd18-01,18,どつく前,,,6.9
HKD5-1-005,7:08:00,7:08:00,hkd19-01,19,どつく前,,,7.3
HKD5-1-005,7:11:00,7:11:00,hkd20-01,20,どつく前,,,7.8
HKD5-1-005,7:14:00,7:14:00,hkd21-01,21,どつく前,,,8.4
HKD5-1-005,7:15:00,7:15:00,hkd22-01,22,どつく前,,,8.8
HKD5-1-005,7:18:00,7:18:00,hkd23-01,23,どつく前,1,,9.3
HKD2-1-004,6:41:00,6:41:00,hkd01-01,1,谷地頭,,1,0
HKD2-1-004,6:42:00,6:42:00,hkd02-01,2,谷地頭,,,0.5
HKD2-1-004,6:43:00,6:43:00,hkd03-01,3,谷地頭,,,0.8
HKD2-1-004,6:45:00,6:45:00,hkd04-01,4,谷地頭,,,1
HKD2-1-004,6:46:00,6:46:00,hkd05-01,5,谷地頭,,,1.3
HKD2-1-004,6:49:00,6:49:00,hkd06-01,6,谷地頭,,,1.8
HKD2-1-004,6:51:00,6:51:00,hkd07-01,7,谷地頭,,,2.3
HKD2-1-004,6:53:00,6:53:00,hkd08-01,8,谷地頭,,,2.9
HKD2-1-004,6:56:00,6:56:00,hkd09-01,9,谷地頭,,,3.5
HKD2-1-004,6:58:00,6:58:00,hkd10-01,10,谷地頭,,,3.8
