stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
hkd01,DY01,湯の川,,41.78110098,140.7901168,,http://www.city.hakodate.hokkaido.jp/docs/2014012200639/,1,,,1
hkd02,DY02,湯の川温泉,,41.78003291,140.7851493,,http://www.city.hakodate.hokkaido.jp/docs/2014012200684/,1,,,
hkd03,DY03,函館アリーナ前（市民会館前）,,41.78192102,140.7823598,,http://www.city.hakodate.hokkaido.jp/docs/2014012200806/,1,,,
hkd04,DY04,駒場車庫前,,41.78325906,140.7792297,,http://www.city.hakodate.hokkaido.jp/docs/2014012200905/,1,,,
hkd05,DY05,競馬場前,,41.78418307,140.7765394,,http://www.city.hakodate.hokkaido.jp/docs/2014012200943/,1,,,1
hkd06,DY06,深堀町,,41.78713303,140.7700002,,http://www.city.hakodate.hokkaido.jp/docs/2014012200998/,1,,,
hkd07,DY07,柏木町,,41.78792099,140.7653466,,http://www.city.hakodate.hokkaido.jp/docs/2014012200950/,1,,,
hkd08,DY08,杉並町,,41.78868495,140.7587671,,http://www.city.hakodate.hokkaido.jp/docs/2014012200721/,1,,,
hkd09,DY09,五稜郭公園前,,41.78919692,140.7525578,,http://www.city.hakodate.hokkaido.jp/docs/2014012201056/,1,,,1
hkd10,DY10,中央病院前,,41.78659705,140.7509458,,http://www.city.hakodate.hokkaido.jp/docs/2014012201063/,1,,,
hkd11,DY11,千代台,,41.78396707,140.7484299,,http://www.city.hakodate.hokkaido.jp/docs/2014012201070/,1,,,
hkd12,DY12,堀川町,,41.78063695,140.7442671,,http://www.city.hakodate.hokkaido.jp/docs/2014012201018/,1,,,
hkd13,DY13,昭和橋,,41.77795472,140.7408392,,http://www.city.hakodate.hokkaido.jp/docs/2014012200769/,1,,,1
hkd14,DY14,千歳町,,41.77598648,140.7384226,,http://www.city.hakodate.hokkaido.jp/docs/2014012201100/,1,,,
hkd15,DY15,新川町,,41.77376014,140.735625,,http://www.city.hakodate.hokkaido.jp/docs/2014012200783/,1,,,
hkd16,DY16,松風町,,41.7714157,140.7331225,,http://www.city.hakodate.hokkaido.jp/docs/2014012200875/,1,,,
hkd17,DY17,函館駅前,,41.77233188,140.7278681,,http://www.city.hakodate.hokkaido.jp/docs/2014012201025/,1,,,1
hkd18,DY18,市役所前,,41.76947527,140.7256204,,http://www.city.hakodate.hokkaido.jp/docs/2014012200776/,1,,,1
hkd19,DY19,魚市場通（函館信金本店前）,,41.76678257,140.7229543,,http://www.city.hakodate.hokkaido.jp/docs/2014012200714/,1,,,1
hkd20,DY20,十字街,,41.76415379,140.7187432,,http://www.city.hakodate.hokkaido.jp/docs/2014012200967/,1,,,1
hkd21,D21,末広町,,41.76659452,140.7124776,,http://www.city.hakodate.hokkaido.jp/docs/2014012200752/,1,,,
hkd22,D22,大町,,41.76995738,140.7093474,,http://www.city.hakodate.hokkaido.jp/docs/2014012200837/,1,,,
hkd23,D23,函館どつく前,,41.77314004,140.7042968,,http://www.city.hakodate.hokkaido.jp/docs/2014012201162/,1,,,
hkd24,Y24,宝来町,,41.76078262,140.7200977,,http://www.city.hakodate.hokkaido.jp/docs/2014012201001/,1,,,1
hkd25,Y25,青柳町,,41.75648687,140.7184777,,http://www.city.hakodate.hokkaido.jp/docs/2014012201117/,1,,,
hkd26,Y26,谷地頭,,41.75323736,140.7163882,,http://www.city.hakodate.hokkaido.jp/docs/2014012201148/,1,,,1
hkd01-01,DY01,湯の川,函館どつく・谷地頭方面,41.78108097,140.7901168,hkd01-01,,0,hkd01,,
hkd02-01,DY02,湯の川温泉,函館どつく・谷地頭方面,41.78001691,140.7851279,hkd02-01,,0,hkd02,,
hkd03-01,DY03,函館アリーナ前（市民会館前）,函館どつく・谷地頭方面,41.78189701,140.7823437,hkd03-01,,0,hkd03,,
hkd04-01,DY04,駒場車庫前,函館どつく・谷地頭方面,41.78343306,140.778771,hkd04-01,,0,hkd04,,
hkd05-01,DY05,競馬場前,函館どつく・谷地頭方面,41.78415307,140.776518,hkd05-01,,0,hkd05,,
hkd06-01,DY06,深堀町,函館どつく・谷地頭方面,41.78710903,140.7699788,hkd06-01,,0,hkd06,,
hkd07-01,DY07,柏木町,函館どつく・谷地頭方面,41.787897,140.7653385,hkd07-01,,0,hkd07,,
hkd08-01,DY08,杉並町,函館どつく・谷地頭方面,41.78860896,140.7592928,hkd08-01,,0,hkd08,,
hkd09-01,DY09,五稜郭公園前,函館どつく・谷地頭方面,41.78913292,140.7528609,hkd09-01,,0,hkd09,,
hkd10-01,DY10,中央病院前,函館どつく・谷地頭方面,41.78658905,140.7509834,hkd10-01,,0,hkd10,,
hkd11-01,DY11,千代台,函館どつく・谷地頭方面,41.78395307,140.7484621,hkd11-01,,0,hkd11,,
hkd12-01,DY12,堀川町,函館どつく・谷地頭方面,41.78078496,140.7445139,hkd12-01,,0,hkd12,,
hkd13-01,DY13,昭和橋,函館どつく・谷地頭方面,41.77790472,140.7408553,hkd13-01,,0,hkd13,,
hkd14-01,DY14,千歳町,函館どつく・谷地頭方面,41.7761165,140.7386452,hkd14-01,,0,hkd14,,
hkd15-01,DY15,新川町,函館どつく・谷地頭方面,41.77390817,140.7358664,hkd15-01,,0,hkd15,,
hkd16-01,DY16,松風町,函館どつく・谷地頭方面,41.77137169,140.7331252,hkd16-01,,0,hkd16,,
