route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accesible,bikes_allowed,jp_trip_desc,jp_trip_desc_symbol,jp_office_id
HKD2-2-1,weekday,HKD2-2-001,２　谷地頭,,1,,hkd2-2-1,0,2,,,hkd_off1
HKD5-2-1,weekday,HKD5-2-001,５　末広町,,1,,hkd5-2-1,0,2,,,hkd_off1
HKD5-1-1,weekday,HKD5-1-002,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-002,２　谷地頭,,1,,hkd2-1-1,0,2,,,hkd_off1
HKD5-3-1,weekday,HKD5-3-003,５　函館駅,,1,,hkd5-3-1,0,2,,,hkd_off1
HKD5-1-1,weekday,HKD5-1-004,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-003,２　谷地頭,,1,,hkd2-1-1,0,2,,,hkd_off1
HKD5-1-1,weekday,HKD5-1-005,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-004,２　谷地頭,,1,,hkd2-1-1,0,2,,,hkd_off1
HKD5-1-1,weekday,HKD5-1-006,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-005,２　谷地頭,,1,,hkd2-1-1,0,2,,,hkd_off1
HKD5-1-1,weekday,HKD5-1-007,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-006,２　谷地頭,,1,,hkd2-1-1,0,2,,,hkd_off1
HKD5-1-1,weekday,HKD5-1-008,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD5-3-1,winter,HKD5-3-w01,冬　函館駅,,1,,hkd5-3-1,0,2,冬季のみ運行（11/1～12/21の平日）,冬,hkd_off1
HKD2-1-1,weekday,HKD2-1-007,２　谷地頭,,1,,hkd2-1-1,0,2,,,hkd_off1
HKD5-1-1,weekday,HKD5-1-009,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-008,２　谷地頭,,1,,hkd2-1-1,0,2,,,hkd_off1
HKD5-2-1,winter,HKD5-2-w02,冬　末広町,,1,,hkd5-2-1,0,2,冬季のみ運行（11/1～12/21の平日）,冬,hkd_off1
HKD5-1-1,weekday,HKD5-1-010,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-009,２　谷地頭,,1,,hkd2-1-1,0,2,,,hkd_off1
HKD5-1-1,weekday,HKD5-1-011,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-010,２　谷地頭,,1,,hkd2-1-1,0,2,,,hkd_off1
HKD5-3-1,winter,HKD5-3-w03,冬　函館駅,,1,,hkd5-3-1,0,2,冬季のみ運行（11/1～12/21の平日）,冬,hkd_off1
HKD5-1-1,weekday,HKD5-1-012,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD5-3-1,winter,HKD5-3-w04,冬　函館駅,,1,,hkd5-3-1,0,2,冬季のみ運行（11/1～12/21の平日）,冬,hkd_off1
HKD2-1-1,weekday,HKD2-1-011,２　谷地頭,,1,,hkd2-1-1,0,2,,,hkd_off1
HKD5-1-1,weekday,HKD5-1-013,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-012,２　谷地頭,,1,,hkd2-1-1,0,2,,,hkd_off1
HKD5-1-1,weekday,HKD5-1-014,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-013,２　谷地頭,,1,,hkd2-1-1,0,2,,,hkd_off1
HKD5-1-1,weekday,HKD5-1-015,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-014,２　谷地頭,,1,,hkd2-1-1,0,2,,,hkd_off1
HKD5-1-1,weekday,HKD5-1-016,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-015,２　谷地頭,,1,,hkd2-1-1,0,2,,,hkd_off1
HKD5-1-1,weekday,HKD5-1-017,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-016,２　谷地頭,,1,,hkd2-1-1,0,2,,,hkd_off1
HKD5-1-1,weekday,HKD5-1-018,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-017,２　谷地頭,,1,,hkd2-1-1,1,2,低床車両,低,hkd_off1
HKD5-1-1,weekday,HKD5-1-019,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-018,２　谷地頭,,1,,hkd2-1-1,0,2,,,hkd_off1
HKD5-1-1,weekday,HKD5-1-020,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-019,２　谷地頭,,1,,hkd2-1-1,0,2,,,hkd_off1
HKD5-1-1,weekday,HKD5-1-021,５　どつく,,1,,hkd5-1-1,1,2,低床車両,低,hkd_off1
HKD2-1-1,weekday,HKD2-1-020,２　谷地頭,,1,,hkd2-1-1,0,2,,,hkd_off1
HKD5-1-1,weekday,HKD5-1-022,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-021,２　谷地頭,,1,,hkd2-1-1,0,2,,,hkd_off1
HKD5-1-1,weekday,HKD5-1-023,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-022,２　谷地頭,,1,,hkd2-1-1,1,2,低床車両,低,hkd_off1
HKD5-1-1,weekday,HKD5-1-024,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-023,２　谷地頭,,1,,hkd2-1-1,0,2,,,hkd_off1
HKD5-1-1,weekday,HKD5-1-025,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-024,２　谷地頭,,1,,hkd2-1-1,0,2,,,hkd_off1
HKD5-1-1,weekday,HKD5-1-026,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-025,２　谷地頭,,1,,hkd2-1-1,1,2,低床車両,低,hkd_off1
HKD5-1-1,weekday,HKD5-1-027,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-026,２　谷地頭,,1,,hkd2-1-1,0,2,,,hkd_off1
HKD5-1-1,weekday,HKD5-1-028,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-027,２　谷地頭,,1,,hkd2-1-1,0,2,,,hkd_off1
HKD5-1-1,weekday,HKD5-1-029,５　どつく,,1,,hkd5-1-1,1,2,低床車両,低,hkd_off1
HKD2-1-1,weekday,HKD2-1-028,２　谷地頭,,1,,hkd2-1-1,0,2,,,hkd_off1
HKD5-1-1,weekday,HKD5-1-030,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-029,２　谷地頭,,1,,hkd2-1-1,0,2,,,hkd_off1
HKD5-1-1,weekday,HKD5-1-031,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-030,２　谷地頭,,1,,hkd2-1-1,1,2,低床車両,低,hkd_off1
HKD5-1-1,weekday,HKD5-1-032,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-031,２　谷地頭,,1,,hkd2-1-1,0,2,,,hkd_off1
HKD5-1-1,weekday,HKD5-1-033,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-032,２　谷地頭,,1,,hkd2-1-1,0,2,,,hkd_off1
HKD5-1-1,weekday,HKD5-1-034,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-033,２　谷地頭,,1,,hkd2-1-1,1,2,低床車両,低,hkd_off1
HKD5-1-1,weekday,HKD5-1-035,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-034,２　谷地頭,,1,,hkd2-1-1,0,2,,,hkd_off1
HKD5-1-1,weekday,HKD5-1-036,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-035,２　谷地頭,,1,,hkd2-1-1,0,2,,,hkd_off1
HKD5-1-1,weekday,HKD5-1-037,５　どつく,,1,,hkd5-1-1,1,2,低床車両,低,hkd_off1
HKD2-1-1,weekday,HKD2-1-036,２　谷地頭,,1,,hkd2-1-1,0,2,,,hkd_off1
HKD5-1-1,weekday,HKD5-1-038,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-037,２　谷地頭,,1,,hkd2-1-1,0,2,,,hkd_off1
HKD5-1-1,weekday,HKD5-1-039,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-038,２　谷地頭,,1,,hkd2-1-1,1,2,低床車両,低,hkd_off1
HKD5-1-1,weekday,HKD5-1-040,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-039,２　谷地頭,,1,,hkd2-1-1,0,2,,,hkd_off1
HKD5-1-1,weekday,HKD5-1-041,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-040,２　谷地頭,,1,,hkd2-1-1,0,2,,,hkd_off1
HKD5-1-1,weekday,HKD5-1-042,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-041,２　谷地頭,,1,,hkd2-1-1,1,2,低床車両,低,hkd_off1
HKD5-1-1,weekday,HKD5-1-043,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-042,２　谷地頭,,1,,hkd2-1-1,0,2,,,hkd_off1
HKD5-1-1,weekday,HKD5-1-044,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-043,２　谷地頭,,1,,hkd2-1-1,0,2,,,hkd_off1
HKD5-1-1,weekday,HKD5-1-045,５　どつく,,1,,hkd5-1-1,1,2,低床車両,低,hkd_off1
HKD2-1-1,weekday,HKD2-1-044,２　谷地頭,,1,,hkd2-1-1,0,2,,,hkd_off1
HKD5-1-1,weekday,HKD5-1-046,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-045,２　谷地頭,,1,,hkd2-1-1,0,2,,,hkd_off1
HKD5-1-1,weekday,HKD5-1-047,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-046,２　谷地頭,,1,,hkd2-1-1,1,2,低床車両,低,hkd_off1
HKD5-1-1,weekday,HKD5-1-048,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-047,２　谷地頭,,1,,hkd2-1-1,0,2,,,hkd_off1
HKD5-1-1,weekday,HKD5-1-049,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-048,２　谷地頭,,1,,hkd2-1-1,0,2,,,hkd_off1
HKD5-1-1,weekday,HKD5-1-050,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-049,２　谷地頭,,1,,hkd2-1-1,1,2,低床車両,低,hkd_off1
HKD5-1-1,weekday,HKD5-1-051,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-050,２　谷地頭,,1,,hkd2-1-1,0,2,,,hkd_off1
HKD5-1-1,weekday,HKD5-1-052,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-051,２　谷地頭,,1,,hkd2-1-1,0,2,,,hkd_off1
HKD5-1-1,weekday,HKD5-1-053,５　どつく,,1,,hkd5-1-1,1,2,低床車両,低,hkd_off1
HKD2-1-1,weekday,HKD2-1-052,２　谷地頭,,1,,hkd2-1-1,0,2,,,hkd_off1
HKD5-1-1,weekday,HKD5-1-054,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-053,２　谷地頭,,1,,hkd2-1-1,0,2,,,hkd_off1
HKD5-1-1,weekday,HKD5-1-055,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-054,２　谷地頭,,1,,hkd2-1-1,1,2,低床車両,低,hkd_off1
HKD5-1-1,weekday,HKD5-1-056,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-055,２　谷地頭,,1,,hkd2-1-1,0,2,,,hkd_off1
HKD5-1-1,weekday,HKD5-1-057,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-056,２　谷地頭,,1,,hkd2-1-1,0,2,,,hkd_off1
HKD5-1-1,weekday,HKD5-1-058,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-057,２　谷地頭,,1,,hkd2-1-1,0,2,,,hkd_off1
HKD5-1-1,weekday,HKD5-1-059,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-058,２　谷地頭,,1,,hkd2-1-1,0,2,,,hkd_off1
HKD5-1-1,weekday,HKD5-1-060,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-059,２　谷地頭,,1,,hkd2-1-1,0,2,,,hkd_off1
HKD5-1-1,weekday,HKD5-1-061,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-060,２　谷地頭,,1,,hkd2-1-1,0,2,,,hkd_off1
HKD5-1-1,weekday,HKD5-1-062,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-061,２　谷地頭,,1,,hkd2-1-1,0,2,,,hkd_off1
HKD5-1-1,weekday,HKD5-1-063,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-062,２　谷地頭,,1,,hkd2-1-1,0,2,,,hkd_off1
HKD5-1-1,weekday,HKD5-1-064,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-063,２　谷地頭,,1,,hkd2-1-1,0,2,,,hkd_off1
HKD5-1-1,weekday,HKD5-1-065,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-064,２　谷地頭,,1,,hkd2-1-1,0,2,,,hkd_off1
HKD5-1-1,weekday,HKD5-1-066,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-065,２　谷地頭,,1,,hkd2-1-1,0,2,,,hkd_off1
HKD5-1-1,weekday,HKD5-1-067,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-066,２　谷地頭,,1,,hkd2-1-1,0,2,,,hkd_off1
HKD5-0-1,weekday,HKD5-0-001,駒場車庫前,,1,,hkd5-0-1,0,2,,,hkd_off1
HKD5-1-1,weekday,HKD5-1-068,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD5-0-1,weekday,HKD5-0-002,駒場車庫前,,1,,hkd5-0-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-067,２　谷地頭,,1,,hkd2-1-1,0,2,,,hkd_off1
HKD5-0-1,weekday,HKD5-0-003,駒場車庫前,,1,,hkd5-0-1,0,2,,,hkd_off1
HKD5-1-1,weekday,HKD5-1-069,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD5-0-1,weekday,HKD5-0-004,駒場車庫前,,1,,hkd5-0-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-068,２　谷地頭,,1,,hkd2-1-1,0,2,,,hkd_off1
HKD5-0-1,weekday,HKD5-0-005,駒場車庫前,,1,,hkd5-0-1,0,2,,,hkd_off1
HKD5-1-1,weekday,HKD5-1-070,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD5-0-1,weekday,HKD5-0-006,駒場車庫前,,1,,hkd5-0-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-069,２　谷地頭,,1,,hkd2-1-1,0,2,,,hkd_off1
HKD5-0-1,weekday,HKD5-0-007,駒場車庫前,,1,,hkd5-0-1,0,2,,,hkd_off1
HKD5-1-1,weekday,HKD5-1-071,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD5-0-1,weekday,HKD5-0-008,駒場車庫前,,1,,hkd5-0-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-070,２　谷地頭,,1,,hkd2-1-1,0,2,,,hkd_off1
HKD5-0-1,weekday,HKD5-0-009,駒場車庫前,,1,,hkd5-0-1,0,2,,,hkd_off1
HKD5-1-1,weekday,HKD5-1-072,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD5-0-1,weekday,HKD5-0-010,駒場車庫前,,1,,hkd5-0-1,0,2,,,hkd_off1
HKD2-1-1,weekday,HKD2-1-071,２　谷地頭,,1,,hkd2-1-1,0,2,,,hkd_off1
HKD5-0-1,weekday,HKD5-0-011,駒場車庫前,,1,,hkd5-0-1,0,2,,,hkd_off1
HKD5-1-1,weekday,HKD5-1-073,５　どつく,,1,,hkd5-1-1,0,2,,,hkd_off1
HKD5-0-1,weekday,HKD5-0-012,駒場車庫前,,1,,hkd5-0-1,0,2,,,hkd_off1
HKD2-0-1,weekday,HKD2-0-013,駒場車庫前,,1,,hkd2-0-1,0,2,,,hkd_off1
HKD5-0-1,weekday,HKD5-0-014,駒場車庫前,,1,,hkd5-0-1,0,2,,,hkd_off1
HKD2-0-1,weekday,HKD2-0-015,駒場車庫前,,1,,hkd2-0-1,0,2,,,hkd_off1
HKD5-0-1,weekday,HKD5-0-016,駒場車庫前,,1,,hkd5-0-1,0,2,,,hkd_off1
HKD5-0-0,weekday,HKD5-0-101,湯の川,,0,,hkd5-0-0,0,2,,,hkd_off1
HKD2-0-0,weekday,HKD2-0-102,湯の川,,0,,hkd2-0-0,0,2,,,hkd_off1
HKD5-0-0,weekday,HKD5-0-103,湯の川,,0,,hkd5-0-0,0,2,,,hkd_off1
HKD2-0-0,weekday,HKD2-0-104,湯の川,,0,,hkd2-0-0,0,2,,,hkd_off1
HKD5-0-0,weekday,HKD5-0-105,湯の川,,0,,hkd5-0-0,0,2,,,hkd_off1
HKD2-0-0,weekday,HKD2-0-106,湯の川,,0,,hkd2-0-0,0,2,,,hkd_off1
HKD5-0-0,weekday,HKD5-0-107,湯の川,,0,,hkd5-0-0,0,2,,,hkd_off1
HKD2-0-0,weekday,HKD2-0-108,湯の川,,0,,hkd2-0-0,0,2,,,hkd_off1
HKD5-0-0,weekday,HKD5-0-109,湯の川,,0,,hkd5-0-0,0,2,,,hkd_off1
